DATEPRD,WELL_BORE_CODE,BORE_GAS_VOL
11-Jun-08,NO 15/9-F-12 H,"760,260"
12-Jun-08,NO 15/9-F-12 H,"757,005"
13-Jun-08,NO 15/9-F-12 H,"754,388"
14-Jun-08,NO 15/9-F-12 H,"651,120"
15-Jun-08,NO 15/9-F-12 H,"763,090"
16-Jun-08,NO 15/9-F-12 H,"764,343"
17-Jun-08,NO 15/9-F-12 H,"756,366"
18-Jun-08,NO 15/9-F-12 H,"765,784"
19-Jun-08,NO 15/9-F-12 H,"766,176"
20-Jun-08,NO 15/9-F-12 H,"702,550"
21-Jun-08,NO 15/9-F-12 H,"750,094"
22-Jun-08,NO 15/9-F-12 H,"769,091"
23-Jun-08,NO 15/9-F-12 H,"765,622"
24-Jun-08,NO 15/9-F-12 H,"766,123"
25-Jun-08,NO 15/9-F-12 H,"767,515"
26-Jun-08,NO 15/9-F-12 H,"639,125"
27-Jun-08,NO 15/9-F-12 H,"762,147"
28-Jun-08,NO 15/9-F-12 H,"711,222"
29-Jun-08,NO 15/9-F-12 H,"768,246"
30-Jun-08,NO 15/9-F-12 H,"659,343"
01-Jul-08,NO 15/9-F-12 H,"599,296"
02-Jul-08,NO 15/9-F-12 H,"766,478"
03-Jul-08,NO 15/9-F-12 H,"762,466"
04-Jul-08,NO 15/9-F-12 H,"761,637"
05-Jul-08,NO 15/9-F-12 H,"761,985"
06-Jul-08,NO 15/9-F-12 H,"762,729"
07-Jul-08,NO 15/9-F-12 H,"764,020"
08-Jul-08,NO 15/9-F-12 H,"764,105"
09-Jul-08,NO 15/9-F-12 H,"762,917"
10-Jul-08,NO 15/9-F-12 H,"691,134"
11-Jul-08,NO 15/9-F-12 H,"426,766"
12-Jul-08,NO 15/9-F-12 H,"151,768"
13-Jul-08,NO 15/9-F-12 H,"606,054"
14-Jul-08,NO 15/9-F-12 H,"573,435"
15-Jul-08,NO 15/9-F-12 H,"635,430"
16-Jul-08,NO 15/9-F-12 H,"521,164"
17-Jul-08,NO 15/9-F-12 H,"482,332"
18-Jul-08,NO 15/9-F-12 H,"474,686"
19-Jul-08,NO 15/9-F-12 H,"481,831"
20-Jul-08,NO 15/9-F-12 H,"466,621"
21-Jul-08,NO 15/9-F-12 H,"466,633"
22-Jul-08,NO 15/9-F-12 H,"465,212"
23-Jul-08,NO 15/9-F-12 H,"463,103"
24-Jul-08,NO 15/9-F-12 H,"471,104"
25-Jul-08,NO 15/9-F-12 H,"460,619"
26-Jul-08,NO 15/9-F-12 H,"461,623"
27-Jul-08,NO 15/9-F-12 H,"465,308"
28-Jul-08,NO 15/9-F-12 H,"460,976"
29-Jul-08,NO 15/9-F-12 H,"490,197"
30-Jul-08,NO 15/9-F-12 H,"355,647"
31-Jul-08,NO 15/9-F-12 H,"339,166"
01-Aug-08,NO 15/9-F-12 H,"436,752"
02-Aug-08,NO 15/9-F-12 H,"445,349"
03-Aug-08,NO 15/9-F-12 H,"438,550"
04-Aug-08,NO 15/9-F-12 H,"452,055"
05-Aug-08,NO 15/9-F-12 H,"437,721"
06-Aug-08,NO 15/9-F-12 H,"135,275"
08-Aug-08,NO 15/9-F-12 H,"110,780"
09-Aug-08,NO 15/9-F-12 H,"559,249"
10-Aug-08,NO 15/9-F-12 H,"603,103"
11-Aug-08,NO 15/9-F-12 H,"611,781"
12-Aug-08,NO 15/9-F-12 H,"616,241"
13-Aug-08,NO 15/9-F-12 H,"620,813"
14-Aug-08,NO 15/9-F-12 H,"651,319"
15-Aug-08,NO 15/9-F-12 H,"673,536"
16-Aug-08,NO 15/9-F-12 H,"799,525"
17-Aug-08,NO 15/9-F-12 H,"795,277"
18-Aug-08,NO 15/9-F-12 H,"810,900"
19-Aug-08,NO 15/9-F-12 H,"801,346"
20-Aug-08,NO 15/9-F-12 H,"728,549"
21-Aug-08,NO 15/9-F-12 H,"647,513"
